trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
42,0,42,0,5,119.06953537499066,0.013946707942523062,"[0.35333333333333333, -0.15888888888888889]","[0.2922222222222222, 0.03]","[1, 1]","[0, 0]","[0, 0]","[0.1495582499774173, 1.7232484589330852]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
43,0,43,0,5,120.81012370903045,0.013921208097599447,"[-0.15888888888888889, -0.2733333333333333, -0.27555555555555555]","[0.03, -0.42333333333333334, -0.4311111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.1258701659971848, 2.4866432909620926, 3.4371938330587]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
44,0,44,0,5,124.26473966706544,0.013807417009957135,"[-0.27555555555555555, -0.48]","[-0.4311111111111111, -0.16666666666666666]","[1, 1]","[0, 0]","[0, 0]","[0.12923900003079325, 1.3878003329737112]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
45,0,45,0,5,125.66998620901722,0.01402350002899766,[-0.3522222222222222],[0.39],[1],[0],[0],[1.3895455419551581],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
46,0,46,0,10,127.09389279200695,0.026472249999642372,"[-0.3522222222222222, -0.4766666666666667]","[0.39, -0.42333333333333334]","[1, 1]","[0, 0]","[0, 0]","[0.11561500001698732, 3.394124499987811]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
47,0,47,0,5,130.50090125005227,0.013759959023445845,"[-0.4766666666666667, 0.027777777777777776, 0.042222222222222223]","[-0.42333333333333334, 0.44555555555555554, 0.43777777777777777]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.11049191700294614, 2.2096481670159847, 3.0753184999339283]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
48,0,48,0,5,133.59371112508234,0.013782333000563085,[0.10555555555555556],[0.10777777777777778],[1],[0],[0],[2.132860583020374],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
49,0,49,0,5,135.74344391701743,0.013629374909214675,[-0.41],[0.2966666666666667],[1],[0],[0],[1.9837779579684138],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
50,0,50,0,5,137.74436712497845,0.013773040962405503,"[-0.41, -0.3988888888888889]","[0.2966666666666667, 0.10111111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.10794712498318404, 1.4751493749208748]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
51,0,51,0,5,139.23708550003357,0.013852374977432191,"[-0.3988888888888889, 0.4922222222222222]","[0.10111111111111111, -0.03222222222222222]","[1, 1]","[0, 0]","[0, 0]","[0.13938508403953165, 2.2163763750577345]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
